time,latitude,longitude,depth,phase,x,y,z,bx,by,P
2026-07-25 06:54:00,56.345975027627105,19.30655397051981,81.0,descending,64318.357823105245,24639.228066608164,0.0,0.0,0.0,"[[2674745.874351131, 13450.854489124375, 839.8197453673741, -0.11253495148736557], [13450.854489124375, 2649307.351730166, 4.371411453601467, 836.785935294245], [839.8197453673741, 4.371411453601467, 0.3501, 0.0], [-0.11253495148736557, 836.785935294245, 0.0, 0.3501]]"
2026-07-25 06:55:00,56.34596053333018,19.30653933261019,82.5,descending,64317.45215939235,24637.61919964988,0.0,0.0,0.0,"[[2776499.418706669, 14615.179378310293, 860.744823857898, 0.13825325295559354], [14615.179378310291, 2752446.2705628383, 4.402544914615871, 857.9815038462367], [860.744823857898, 4.402544914615871, 0.3542666666666667, 0.0], [0.13825325295559354, 857.9815038462367, 0.0, 0.3542666666666667]]"
2026-07-25 06:56:00,56.34594482384525,19.306522119532595,84.0,descending,64316.38716717899,24635.875446822898,0.0,0.0,0.0,"[[2880830.764739126, 15746.825689634888, 881.9287120427954, 0.38381190308266006], [15746.825689634888, 2858272.127144346, 4.420082731154975, 879.4443570245079], [881.9287120427954, 4.420082731154975, 0.3584333333333333, 0.0], [0.38381190308266006, 879.4443570245079, 0.0, 0.3584333333333333]]"
2026-07-25 06:57:00,56.34592790805198,19.30650231780563,85.5,descending,64315.16201235633,24633.99779376982,0.0,0.0,0.0,"[[2987775.3532346636, 16838.802045747525, 903.3718597148006, 0.6236668975740463], [16838.802045747525, 2966825.823221415, 4.423185365119077, 901.1753904576407], [903.3718597148006, 4.423185365119077, 0.3626, 0.0], [0.6236668975740463, 901.1753904576407, 0.0, 0.3626]]"
2026-07-25 06:58:00,56.34590979483888,19.306479913939334,87.0,descending,64313.77586028541,24631.987227115387,0.0,0.0,0.0,"[[3097368.8281482244, 17883.765387888478, 925.0747225063316, 0.857332118850291], [17883.765387888478, 3078148.7561912434, 4.410993285695797, 923.1755225294116], [925.0747225063316, 4.410993285695797, 0.36676666666666663, 0.0], [0.857332118850291, 923.1755225294116, 0.0, 0.36676666666666663]]"
2026-07-25 06:59:00,56.34589049310316,19.306454894433873,88.5,descending,64312.227875716606,24629.844734450726,0.0,0.0,0.0,"[[3209647.0395097258, 18874.01216703361, 947.0377618766277, 1.08430911466016], [18874.01216703361, 3192282.830880672, 4.382627043244415, 945.4456943545672], [947.0377618766277, 4.382627043244415, 0.3709333333333333, 0.0], [1.08430911466016, 945.4456943545672, 0.0, 0.3709333333333333]]"
2026-07-25 07:00:00,56.345870011750584,19.30642724577826,90.0,descending,64310.51722271014,24627.571304314803,0.0,0.0,0.0,"[[3324646.046388244, 19801.469409250018, 969.2614451043878, 1.3040867675639833], [19801.469409250014, 3309270.4713816606, 4.337187355340834, 967.9868697482048], [969.2614451043878, 4.337187355340834, 0.37509999999999993, 0.0], [1.3040867675639833, 967.9868697482048, 0.0, 0.37509999999999993]]"
2026-07-25 07:01:00,56.34584828889684,19.306396893413787,91.5,descending,64308.63928823606,24625.16006754874,0.0,0.0,0.0,"[[3442411.037803968, 20659.628360378792, 991.7475237642208, 1.5156354932247036], [20659.62836037879, 3429110.847611739, 4.274820633980725, 990.7937389025401], [991.7475237642208, 4.274820633980725, 0.3792666666666666, 0.0], [1.5156354932247036, 990.7937389025401, 0.0, 0.3792666666666666]]"
2026-07-25 07:02:00,56.345824906387776,19.306363424169252,93.0,descending,64306.56850893342,24622.564609043246,0.0,0.0,0.0,"[[3563039.0878217816, 21454.682833402076, 1014.5050113117748, 1.7150260497817145], [21454.682833402072, 3551533.084945813, 4.202256767569618, 1013.8229079409499], [1014.5050113117748, 4.202256767569618, 0.38343333333333324, 0.0], [1.7150260497817145, 1013.8229079409499, 0.0, 0.38343333333333324]]"
2026-07-25 07:03:00,56.34579986870739,19.30632682231676,94.5,descending,64304.303911699906,24619.78542651994,0.0,0.0,0.0,"[[3686575.2539758845, 22178.0260345928, 1037.5351741751474, 1.9012109692345842], [22178.0260345928, 3676551.0017387257, 4.119052925204426, 1037.0732369452774], [1037.5351741751474, 4.119052925204426, 0.3875999999999999, 0.0], [1.9012109692345842, 1037.0732369452774, 0.0, 0.3875999999999999]]"
2026-07-25 07:04:00,56.34577318052765,19.306287072073474,96.0,descending,64301.84452003411,24616.8230385691,0.0,0.0,0.0,"[[3813065.366079145, 22820.614275350006, 1060.8393202435052, 2.0731083781928215], [22820.61427535001, 3804178.019832592, 4.02475562730946, 1060.5435866663063], [1060.8393202435052, 4.02475562730946, 0.39176666666666654, 0.0], [2.0731083781928215, 1060.5435866663063, 0.0, 0.39176666666666654]]"
2026-07-25 07:05:00,56.34574484670434,19.306244157598393,97.5,descending,64299.1893538356,24613.677984181642,0.0,0.0,0.0,"[[3942556.0545239137, 23372.955659739175, 1084.4187998586624, 2.2296016459713868], [23372.95565973918, 3934427.167590491, 3.918900556000499, 1084.2328185652516], [1084.4187998586624, 3.918900556000499, 0.3959333333333332, 0.0], [2.2296016459713868, 1084.2328185652516, 0.0, 0.3959333333333332]]"
2026-07-25 07:06:00,56.34571487227282,19.306198062988873,99.0,descending,64296.33742919032,24610.350822283293,0.0,0.0,0.0,"[[4075094.779488713, 23825.098658639145, 1108.2750068251435, 2.3695390336888402], [23825.09865863915, 4067311.082655879, 3.8010123649138285, 1108.1397948126812], [1108.2750068251435, 3.8010123649138285, 0.40009999999999984, 0.0], [2.3695390336888402, 1108.1397948126812, 0.0, 0.40009999999999984]]"
2026-07-25 07:07:00,56.345683262443885,19.306148772276934,100.5,descending,64293.287758141174,24606.842131271056,0.0,0.0,0.0,"[[4210729.861078469, 24166.620563872442, 1132.4093794389987, 2.4917333428622555], [24166.620563872442, 4202842.014409773, 3.670604488653282, 1132.2633782446628], [1132.4093794389987, 3.670604488653282, 0.4042666666666665, 0.0], [2.4917333428622555, 1132.2633782446628, 0.0, 0.4042666666666665]]"
2026-07-25 07:08:00,56.34565002259957,19.306096269425293,102.0,descending,64290.03934844394,24603.152508552103,0.0,0.0,0.0,"[[4349510.510426856, 24386.615814810848, 1156.8234015356534, 2.5949615619008317], [24386.61581481085, 4341031.826098477, 3.527178952007739, 1156.6024322759838], [1156.8234015356534, 3.527178952007739, 0.40843333333333315, 0.0], [2.5949615619008317, 1156.6024322759838, 0.0, 0.40843333333333315]]"
2026-07-25 07:09:00,56.34561515828906,19.30604053832319,103.5,descending,64286.591203308235,24599.28257008521,0.0,0.0,0.0,"[[4491486.861790268, 24473.68418905226, 1181.5186035570932, 2.6779645088099477], [24473.684189052263, 4481891.996605257, 3.3702261790920476, 1181.1558207703495], [1181.5186035570932, 3.3702261790920476, 0.4125999999999998, 0.0], [2.6779645088099477, 1181.1558207703495, 0.0, 0.4125999999999998]]"
2026-07-25 07:10:00,56.34557938631128,19.305982805758426,105.0,descending,64283.019225456235,24595.311880551842,0.0,0.0,0.0,"[[4636571.984042774, 24355.532416592814, 1206.4787257334467, 2.7276322878922152], [24355.53241659282, 4625244.6954724565, 3.1954971083957098, 1205.89791152247], [1206.4787257334467, 3.1954971083957098, 0.41676666666666645, 0.0], [2.7276322878922152, 1205.89791152247, 0.0, 0.41676666666666645]]"
